G_S,order,Family,Genus,species,CI,Loght,ANG_GYM,native,Functional_group,LogGeoRangeST,LogGeoRangeCO,LogPSR
Gaylussacia_frondosa,Ericales                        ,Ericaceae                       ,Gaylussacia     ,frondosa                                        ,0.301029996,0.262166212,angio   ,1,shrub   ,6.074980659,5.582508661,0.77815125
Gleditsia_triacanthos,Fabales                         ,Fabaceae                        ,Gleditsia       ,triacanthos                                    ,2.290034611,1.387104949,angio   ,1,A-TREE  ,6.749722761,6.351289707,1.86923172
Gymnocladus_dioicus,Fabales                         ,Fabaceae                        ,Gymnocladus     ,dioicus                                         ,1.176091259,1.329113002,angio   ,1,A-TREE  ,6.630430804,5.920470305,1.113943352
Hamamelis_virginiana,Hamamelidales                   ,Hamamelidaceae                  ,Hamamelis       ,virginiana                                      ,1.924279286,0.961136217,angio   ,1,A-TREE  ,6.578857483,6.276687703,1.230448921
Helenium_amarum,Asterales                       ,Asteraceae                      ,Helenium        ,amarum                                          ,1.176091259,-0.038863783,angio   ,1,HERB    ,6.608929622,6.129572814,0.698970004
Helenium_autumnale,Asterales                       ,Asteraceae                      ,Helenium        ,autumnale                                       ,1.301029996,0.086074953,angio   ,1,HERB    ,6.87357031,6.405166835,1
Helianthemum_canadense,VIOLALES                        ,Cistaceae                       ,Helianthemum    ,canadense                                      ,0.477121255,-0.214955042,angio   ,1,HERB    ,6.386069613,5.84797466,0.301029996
Hexastylis_virginica,Aristolochiales                 ,Aristolochiaceae                ,Hexastylis      ,virginica                                       ,0.301029996,-0.515985038,angio   ,1,HERB    ,5.946256641,5.279562242,0.477121255
Hudsonia_ericoides,VIOLALES                        ,Cistaceae                       ,Hudsonia        ,ericoides                                       ,0.602059991,-0.515985038,angio   ,1,shrub   ,5.611444272,4.754908154,0.301029996
Hudsonia_tomentosa,VIOLALES                        ,Cistaceae                       ,Hudsonia        ,tomentosa                                       ,0.698970004,-0.214955042,angio   ,1,shrub   ,6.240644758,5.572384448,0.77815125
Hydrophyllum_canadense,Lamiales                        ,Boraginaceae                    ,Hydrophyllum    ,canadense                                       ,0.698970004,-0.214955042,angio   ,1,HERB    ,6.265130096,5.742498372,0.77815125
Hydrophyllum_virginianum,Lamiales                        ,Boraginaceae                    ,Hydrophyllum    ,virginianum                                      ,0.698970004,-0.214955042,angio   ,1,HERB    ,6.490208022,6.126531584,1.079181246
Hyptis_alata,Lamiales                        ,Lamiaceae                       ,Hyptis          ,alata                                           ,0.301029996,0.262166212,angio   ,1,HERB    ,6.148857635,5.542332505,0.477121255
Hyptis_emoryi,Lamiales                        ,Lamiaceae                       ,Hyptis          ,emoryi                                          ,0.77815125,0.484014962,angio   ,1,shrub   ,5.987361348,5.452157225,0.301029996
Ilex_decidua,Aquifoliales                    ,Aquifoliaceae                   ,Ilex            ,decidua                                         ,0.84509804,0.881954971,angio   ,1,A-TREE  ,6.444530231,6.06465804,1.146128036
Ilex_glabra,Aquifoliales                    ,Aquifoliaceae                   ,Ilex            ,glabra                                          ,1.491361694,0.387104949,angio   ,1,shrub   ,6.337820823,5.700415149,1.361727836
Ilex_montana,Aquifoliales                    ,Aquifoliaceae                   ,Ilex            ,montana                                         ,0.602059991,0.961136217,angio   ,1,A-TREE  ,6.10974319,5.552741778,0.77815125
Ilex_opaca,Aquifoliales                    ,Aquifoliaceae                   ,Ilex            ,opaca                                           ,1.681241237,1.262166212,angio   ,1,A-TREE  ,6.480309636,6.048692397,1.929418926
Ilex_verticillata,Aquifoliales                    ,Aquifoliaceae                   ,Ilex            ,verticillata                                    ,1.176091259,0.484014962,angio   ,1,shrub   ,6.558238871,6.190060557,1.278753601
Ilex_vomitoria,Aquifoliales                    ,Aquifoliaceae                   ,Ilex            ,vomitoria                                       ,1.278753601,0.881954971,angio   ,1,A-TREE  ,6.285750111,5.700017364,1.361727836
Iresine_diffusa,Caryophyllidae                  ,Amaranthaceae                   ,Iresine         ,diffusa                                         ,0.698970004,0.484014962,angio   ,1,HERB    ,5.963911065,5.042174267,0.602059991
Iresine_rhizomatosa,Caryophyllidae                  ,Amaranthaceae                   ,Iresine         ,rhizomatosa                                     ,0,-0.038863783,angio   ,1,HERB    ,6.462075647,5.553866208,0.477121255
Iris_fulva,asparagales-LILIALES            ,Iridaceae                       ,Iris            ,fulva                                           ,1.662757832,-0.038863783,angio   ,1,HERB    ,6.296182307,5.162776911,0.698970004
Iris_versicolor,asparagales-LILIALES            ,Iridaceae                       ,Iris            ,versicolor                                      ,1.342422681,-0.214955042,angio   ,1,HERB    ,6.142788533,5.92851365,1
Iva_axillaris,Asterales                       ,Asteraceae                      ,Iva             ,axillaris                                       ,0.77815125,-0.214955042,angio   ,1,HERB    ,6.69666627,6.326305173,0.698970004
Iva_frutescens,Asterales                       ,Asteraceae                      ,Iva             ,frutescens                                      ,1.62324929,0.563196208,angio   ,1,shrub   ,6.310374642,5.447113782,0.77815125
Juglans_cinerea,Juglandales                     ,Juglandaceae                    ,Juglans         ,cinerea                                         ,1.72427587,1.329113002,angio   ,1,A-TREE  ,6.452408765,6.090761766,1.477121255
Juglans_nigra,Juglandales                     ,Juglandaceae                    ,Juglans         ,nigra                                           ,2.481442629,1.438257471,angio   ,1,A-TREE  ,6.699411162,6.304850503,1.748188027
Juniperus_californica,Pinales                         ,Cupressaceae                    ,Juniperus       ,californica                                     ,0.77815125,0.89898831,gymno   ,1,G-TREE  ,5.987361348,5.492767618,0.698970004
Juniperus_horizontalis,Pinales                         ,Cupressaceae                    ,Juniperus       ,horizontalis                                    ,1.431363764,0.086074953,gymno   ,1,shrub   ,6.474326135,5.944190608,1.505149978
Juniperus_monosperma,Pinales                         ,Cupressaceae                    ,Juniperus       ,monosperma                                      ,1.939519253,1.086074953,gymno   ,1,G-TREE  ,6.284164322,5.747527259,1.397940009
Juniperus_virginiana,Pinales                         ,Cupressaceae                    ,Juniperus       ,virginiana                                      ,2.387389826,1.475241038,gymno   ,1,G-TREE  ,6.7058996,6.3900651,2.23299611
Kalmia_angustifolia,Ericales                        ,Ericaceae                       ,Kalmia          ,angustifolia                                    ,1.963787827,-0.038863783,angio   ,1,shrub   ,5.877322327,5.618021627,0.954242509
Kalmia_latifolia,Ericales                        ,Ericaceae                       ,Kalmia          ,latifolia                                       ,1.944482672,0.660106221,angio   ,1,shrub   ,6.270036537,5.983608476,1.51851394
Kalmia_polifolia,Ericales                        ,Ericaceae                       ,Kalmia          ,polifolia                                       ,0.602059991,-0.515985038,angio   ,1,shrub   ,6.10766574,5.839546554,0.903089987
Lactuca_tatarica,Asterales                       ,Asteraceae                      ,Lactuca,tatarica,1.278753601,-0.038863783,angio   ,1,HERB    ,6.910754354,6.463282061,1.041392685
Larix_laricina,Pinales                         ,Pinaceae                        ,Larix           ,laricina                                        ,2.457881897,1.387104949,gymno   ,1,G-TREE  ,6.314808787,6.182508467,1.301029996
Larix_occidentalis,Pinales                         ,Pinaceae                        ,Larix           ,occidentalis                                    ,2.184691431,1.660106221,gymno   ,1,G-TREE  ,6.164240401,5.452244027,2.117271296
Ledum_glandulosum,Ericales                        ,Ericaceae                       ,Ledum           ,glandulosum                                     ,0.301029996,0.182984966,angio   ,1,shrub   ,6.330417223,5.840344445,1.146128036
Ledum_groenlandicum,Ericales                        ,Ericaceae                       ,Ledum           ,groenlandicum                                   ,1.491361694,-0.038863783,angio   ,1,shrub   ,6.309112111,5.847753807,1.176091259
Lepidium_flavum,Capparales                      ,Brassicaceae                    ,Lepidium        ,flavum                                          ,0.301029996,-0.515985038,angio   ,1,HERB    ,5.832760603,5.524081961,0.301029996
Lepidium_virginicum,Capparales                      ,Brassicaceae                    ,Lepidium        ,virginicum                                      ,1.491361694,-0.038863783,angio   ,1,HERB    ,6.919410232,6.629585783,1.361727836
Leucothoe_axillaris,Ericales                        ,Ericaceae                       ,Leucothoe       ,axillaris                                       ,0.602059991,0.262166212,angio   ,1,shrub   ,6.315266848,5.418115848,1.380211242
Leucothoe_fontanesiana,Ericales                        ,Ericaceae                       ,Leucothoe       ,fontanesiana                                    ,0.698970004,0.086074953,angio   ,1,shrub   ,5.991847912,5.084014225,0.602059991
Liatris_pycnostachya,Asterales                       ,Asteraceae                      ,Liatris         ,pycnostachya                                   ,0.84509804,0.262166212,angio   ,1,HERB    ,6.545500056,5.932207304,0.84509804
Liatris_spicata,Asterales                       ,Asteraceae                      ,Liatris         ,spicata                                         ,1.431363764,0.262166212,angio   ,1,HERB    ,6.392767279,5.830443147,0.698970004
Linaria_purpurea,Scrophulariales                 ,Scrophulariaceae                ,Linaria         ,purpurea                                        ,0.602059991,-0.038863783,angio   ,0,HERB    ,5.601288434,4.217636919,0.301029996
Linaria_vulgaris,Scrophulariales                 ,Scrophulariaceae                ,Linaria         ,vulgaris                                        ,1.851258349,-0.038863783,angio   ,0,HERB    ,6.919410232,6.493344686,1.041392685
Liquidambar_styraciflua,Hamamelidales                   ,Hamamelidaceae                  ,Liquidambar     ,styraciflua                                     ,2.693726949,1.484014962,angio   ,1,A-TREE  ,6.482147019,6.104598946,2.243038049
Liriodendron_tulipifera,Magnoliales                     ,Magnoliaceae                    ,Liriodendron    ,tulipifera                                      ,2.680335513,1.563196208,angio   ,1,A-TREE  ,6.693290448,6.144858253,1.799340549
Lithocarpus_densiflorus,Fagales                         ,Fagaceae                        ,Lithocarpus     ,densiflorus                                    ,1.740362689,1.387104949,angio   ,1,A-TREE  ,5.80959917,5.376039625,1.568201724
Lithospermum_canescens,Lamiales                        ,Boraginaceae                    ,Lithospermum    ,canescens                                       ,1.041392685,-0.214955042,angio   ,1,HERB    ,6.618941499,6.09653682,0.77815125
Lithospermum_caroliniense,Lamiales                        ,Boraginaceae                    ,Lithospermum    ,caroliniense                                    ,1.342422681,-0.214955042,angio   ,1,HERB    ,6.673345649,5.930850936,0.301029996
Lobelia_cardinalis,Asterales                       ,Campanulaceae                   ,Lobelia         ,cardinalis                                      ,1.505149978,0.262166212,angio   ,1,HERB    ,6.774960194,6.47297797,0.698970004
Lobelia_siphilitica,Asterales                       ,Campanulaceae                   ,Lobelia         ,siphilitica                                     ,1.591064607,-0.038863783,angio   ,1,HERB    ,6.694167051,6.27638259,0.954242509
Lonicera_canadensis,DIPSACALES                      ,Caprifoliaceae                  ,Lonicera        ,canadensis                                      ,1.146128036,0.182984966,angio   ,1,shrub   ,6.29166119,5.934293612,0.903089987
Lonicera_flava,DIPSACALES                      ,Caprifoliaceae                  ,Lonicera        ,flava                                      ,0,0.785044958,angio   ,1,shrub   ,6.209393181,5.046164261,0.903089987
Lonicera_hispidula,DIPSACALES                      ,Caprifoliaceae                  ,Lonicera        ,hispidula                                       ,0.301029996,0.484014962,angio   ,1,shrub   ,5.911428492,5.543171361,0.903089987
Lonicera_oblongifolia,DIPSACALES                      ,Caprifoliaceae                  ,Lonicera        ,oblongifolia                                    ,0,0.182984966,angio   ,1,shrub   ,5.968829219,5.59497538,0.954242509
Lonicera_sempervirens,DIPSACALES                      ,Caprifoliaceae                  ,Lonicera        ,sempervirens                                    ,1,0.688134945,angio   ,1,shrub   ,6.534184887,6.052099826,1.079181246
Ludwigia_decurrens,MYTALES                         ,Acanthaceae                     ,Ludwigia        ,decurrens                                       ,0.477121255,0.182984966,angio   ,1,HERB    ,6.476241308,5.947266398,0.698970004
Ludwigia_pilosa,MYTALES                         ,Acanthaceae                     ,Ludwigia        ,pilosa                                          ,0,0.086074953,angio   ,1,HERB    ,6.209977667,5.481380503,0.301029996
Lupinus_albicaulis,Fabales                         ,Fabaceae                        ,Lupinus         ,albicaulis                                      ,0.301029996,-0.038863783,angio   ,1,HERB    ,5.601289413,5.531549497,0.301029996
Lupinus_albifrons,Fabales                         ,Fabaceae                        ,Lupinus         ,albifrons                                       ,1.176091259,0.182984966,angio   ,1,shrub   ,5.80959917,5.566819806,0.698970004
Lycium_berlandieri,SOLANALES                       ,Solanaceae                      ,Lycium          ,berlandieri                                     ,0.602059991,0.438257471,angio   ,1,shrub   ,6.160744747,5.497864719,0.301029996
Lycium_pallidum,SOLANALES                       ,Solanaceae                      ,Lycium          ,pallidum                                        ,1,0.387104949,angio   ,1,shrub   ,6.415676636,5.832647098,0.602059991
Lyonia_ferruginea,Ericales                        ,Ericaceae                       ,Lyonia          ,ferruginea                                      ,0.301029996,0.785044958,angio   ,1,shrub   ,5.560610855,5.133886441,1.041392685
Lyonia_ligustrina,Ericales                        ,Ericaceae                       ,Lyonia          ,ligustrina                                      ,0.602059991,0.660106221,angio   ,1,shrub   ,6.439340069,5.972214548,1.079181246
Lyonia_lucida,Ericales                        ,Ericaceae                       ,Lyonia          ,lucida                                          ,0.698970004,0.329113002,angio   ,1,shrub   ,5.978284123,5.603826509,1.041392685
Lyonia_mariana,Ericales                        ,Ericaceae                       ,Lyonia          ,mariana                                         ,0.301029996,0.262166212,angio   ,1,shrub   ,6.35686171,5.592781942,0.77815125
Lysimachia_ciliata,Primulales                      ,Primulaceae                     ,Lysimachia      ,ciliata                                          ,0.698970004,-0.214955042,angio   ,1,HERB    ,6.8164404,6.436015558,1.342422681
Lysimachia_terrestris,Primulales                      ,Primulaceae                     ,Lysimachia      ,terrestris                                      ,0.477121255,-0.038863783,angio   ,1,HERB    ,6.468346385,6.051726412,0.77815125
Lythrum_alatum,MYTALES                         ,Lythraceae                      ,Lythrum         ,alatum                                          ,1.230448921,0.182984966,angio   ,1,HERB    ,6.73686356,6.202752984,0.698970004
Magnolia_fraseri,Magnoliales                     ,Magnoliaceae                    ,Magnolia        ,fraseri                                         ,1.079181246,1.329113002,angio   ,1,A-TREE  ,6.027829961,5.112177345,1
Magnolia_grandiflora,Magnoliales                     ,Magnoliaceae                    ,Magnolia        ,grandiflora                                     ,2.068185862,1.387104949,angio   ,1,A-TREE  ,6.275446322,5.684001196,1.740362689
Maianthemum_racemosum,LILIALES                        ,Ruscaceae                       ,Maianthemum     ,racemosum                                       ,1,-0.903089987,angio   ,1,HERB    ,6.624208084,6.596402793,1.176091259
Malus_angustifolia,Rosales                         ,Rosaceae                        ,Malus           ,angustifolia                                    ,0.954242509,0.961136217,angio   ,1,A-TREE  ,6.388680147,5.682802893,1.322219295
Malus_coronaria,Rosales                         ,Rosaceae                        ,Malus           ,coronaria                                       ,1,0.961136217,angio   ,1,A-TREE  ,6.421643094,5.756316447,1.255272505
Malus_fusca,Rosales                         ,Rosaceae                        ,Malus           ,fusca                                           ,0.698970004,0.961136217,angio   ,1,A-TREE  ,5.911428492,5.29351168,0.903089987
Menziesia_ferruginea,Ericales                        ,Ericaceae                       ,Menziesia       ,ferruginea                                      ,0.84509804,0.563196208,angio   ,1,shrub   ,6.376329065,5.597268811,1
Menziesia_pilosa,Ericales                        ,Ericaceae                       ,Menziesia       ,pilosa                                          ,0.301029996,0.262166212,angio   ,1,shrub   ,5.879895404,5.088729913,0.602059991
Merremia_dissecta,SOLANALES                       ,Convolvulaceae                  ,Merremia        ,dissecta                                        ,1,0.563196208,angio   ,1,HERB    ,6.179085364,5.252775126,0.301029996
Mertensia_paniculata,Lamiales                        ,Boraginaceae                    ,Mertensia       ,paniculata                                      ,1.113943352,0.182984966,angio   ,1,HERB    ,6.376971293,6.351702312,1.079181246
